id,season,city,match_date,match_number,team1,team2,venue,toss_winner,toss_decision,super_over,winner,won_by,result_margin,target_runs,target_overs,method,player_of_match,umpire1,umpire2
1426312,2024,Chennai,26-05-2024,Final,Sunrisers Hyderabad,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk, Chennai",Sunrisers Hyderabad,Bat,N,Kolkata Knight Riders,Wickets,8,114,20,NA,MA Starc,J Madanagopal,Nitin Menon
1426311,2024,Chennai,24-05-2024,Qualifier 2,Sunrisers Hyderabad,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk, Chennai",Rajasthan Royals,Field,N,Sunrisers Hyderabad,Runs,36,176,20,NA,Shahbaz Ahmed,Nitin Menon,VK Sharma
1426310,2024,Ahmedabad,22-05-2024,Eliminator,Royal Challengers Bengaluru,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",Rajasthan Royals,Field,N,Rajasthan Royals,Wickets,4,173,20,NA,R Ashwin,KN Ananthapadmanabhan,MV Saidharshan Kumar
1426309,2024,Ahmedabad,21-05-2024,Qualifier 1,Sunrisers Hyderabad,Kolkata Knight Riders,"Narendra Modi Stadium, Ahmedabad",Sunrisers Hyderabad,Bat,N,Kolkata Knight Riders,Wickets,8,160,20,NA,MA Starc,AK Chaudhary,R Pandit
1426307,2024,Hyderabad,19-05-2024,League,Punjab Kings,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Punjab Kings,Bat,N,Sunrisers Hyderabad,Wickets,4,215,20,NA,Abhishek Sharma,Nitin Menon,VK Sharma
1426306,2024,Bengaluru,18-05-2024,League,Royal Challengers Bengaluru,Chennai Super Kings,"M Chinnaswamy Stadium, Bengaluru",Chennai Super Kings,Field,N,Royal Challengers Bengaluru,Runs,27,219,20,NA,F du Plessis,A Totre,KN Ananthapadmanabhan
1426305,2024,Mumbai,17-05-2024,League,Lucknow Super Giants,Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai Indians,Field,N,Lucknow Super Giants,Runs,18,215,20,NA,N Pooran,Navdeep Singh,R Pandit
1426303,2024,Guwahati,15-05-2024,League,Rajasthan Royals,Punjab Kings,"Barsapara Cricket Stadium, Guwahati",Rajasthan Royals,Bat,N,Punjab Kings,Wickets,5,145,20,NA,SM Curran,R Pandit,MV Saidharshan Kumar
1426302,2024,Delhi,14-05-2024,League,Delhi Capitals,Lucknow Super Giants,"Arun Jaitley Stadium, Delhi",Lucknow Super Giants,Field,N,Delhi Capitals,Runs,19,209,20,NA,I Sharma,A Totre,Vinod Seshan
1426300,2024,Bengaluru,12-05-2024,League,Royal Challengers Bengaluru,Delhi Capitals,"M Chinnaswamy Stadium, Bengaluru",Delhi Capitals,Field,N,Royal Challengers Bengaluru,Runs,47,188,20,NA,C Green,A Nand Kishore,VA Kulkarni
